Player,replication,avg_num_rounds,variance_rounds,sum_profits,mean_day_profits,variance_profits,,fibonacci mean day profit,,,fibonacci mean sum profits,
Moderate_Risk:Fibonacci,241,58,1023.379,-1025,-34.167,24613.316,,,,,,
Moderate_Risk:Fibonacci,242,47.367,1001.62,-1302,-43.4,24852.524,,,,,,
Moderate_Risk:Fibonacci,243,50.4,964.524,1376,45.867,137424.671,,,,,,
Moderate_Risk:Fibonacci,244,53.2,1065.062,-53,-1.767,36299.771,,,,,,
Moderate_Risk:Fibonacci,245,42.533,776.257,-1800,-60,18611.655,,,,,,
Moderate_Risk:Fibonacci,246,44.4,857.214,-1084,-36.133,34702.809,,,,,,
Moderate_Risk:Fibonacci,247,43.433,603.633,-2211,-73.7,11321.459,,,,,,
Moderate_Risk:Fibonacci,248,53.967,1106.723,-1459,-48.633,13827.137,,,,,,
Moderate_Risk:Fibonacci,249,51.633,899.964,-1821,-60.7,14860.217,,,,,,
Moderate_Risk:Fibonacci,250,55.767,1145.909,-186,-6.2,32897.062,,,,,,
Moderate_Risk:Fibonacci,251,40.9,641.403,-1365,-45.5,34084.672,,,,,,
Moderate_Risk:Fibonacci,252,53.2,1233.89,359,11.967,48914.309,,,,,,
Moderate_Risk:Fibonacci,253,47.1,844.438,-2707,-90.233,2781.909,,,,,,
Moderate_Risk:Fibonacci,254,60.6,1312.593,572,19.067,51602.202,,,,,,
Moderate_Risk:Fibonacci,255,54.733,1234.064,942,31.4,52001.697,,,,,,
Moderate_Risk:Fibonacci,256,52.967,1015.068,-1012,-33.733,25447.651,,,,,,
Moderate_Risk:Fibonacci,257,48.8,987.269,33,1.1,60084.024,,,,,,
Moderate_Risk:Fibonacci,258,49.733,1060.271,404,13.467,55427.361,,,,,,
Moderate_Risk:Fibonacci,259,53.5,1201.155,773,25.767,61550.737,,,,,,
Moderate_Risk:Fibonacci,260,51,1126.207,434,14.467,73263.016,,,,,,
Moderate_Risk:Fibonacci,261,49.267,1255.651,1626,54.2,176210.993,,,,,,
Moderate_Risk:Fibonacci,262,50.767,979.289,-994,-33.133,22682.189,,,,,,
Moderate_Risk:Fibonacci,263,45.567,1034.254,-1907,-63.567,12917.22,,,,,,
Moderate_Risk:Fibonacci,264,50.633,1107.206,-1254,-41.8,20176.372,,,,,,
Moderate_Risk:Fibonacci,265,53,902.414,-726,-24.2,25935.959,,,,,,
